path,generated_question,generated_answer
3e/3ee3a90b.jpg,What number of gloves is shown?,One
5c/5cb11e67.jpg,What color is the wrap?,White
4b/4b2e57c7.jpg,What is the packet's background?,White
64/647fff08.jpg,What color is the box's background?,White
d6/d67595c4.jpg,What is the table's shape?,Square
87/87c11ce5.jpg,What color are the pillows?,White
bf/bf0ddda3.jpg,What color is the box?,Brown
1d/1d965311.jpg,What color are the fingertips?,Blue
11/119272bb.jpg,Is shelf clear?,Yes
7b/7b3362cd.jpg,What shape is the stone?,Round
97/97f61db2.jpg,What flavor is the marmalade?,Orange
86/8627903c.jpg,What color is the handle?,Red
b5/b58a61d5.jpg,What is the rug's pattern?,Floral
fe/fe6b0e23.jpg,What color is the pesto?,Red
47/474b75f8.jpg,What is the stripe's color?,Red
97/974984c3.jpg,What color are the flowers?,White
f8/f8599af7.jpg,What is the rug's shape?,Rectangular
3d/3db33ad6.jpg,What flavor is the oatmeal?,Maple
12/12766fe0.jpg,Is it round?,Yes
bc/bca9a07e.jpg,What color are the mountains?,Green
9f/9fe805fd.jpg,What color is the bottle?,Brown
b5/b5319e00.jpg,What is the background?,White
5f/5f9c3841.jpg,What color are the flowers?,Blue
ce/ce5ed95d.jpg,Are oats organic?,Yes
7c/7c584550.jpg,What is the surface texture?,Grainy
b1/b1f98f23.jpg,What color is the package?,white
8d/8d8e8a98.jpg,What color is the label?,Blue
7e/7ee2af13.jpg,What color is the sheet?,Blue
81/81db4752.jpg,What color are the leaves?,Green
3d/3d2aba67.jpg,What color are the flowers?,White
e7/e7c8f4a7.jpg,What color are the chunks?,Yellow
2a/2a9e284f.jpg,Is pasta visible?,Yes
6a/6aa0d8ef.jpg,What color is the slide?,White
de/deeaa299.jpg,What color is it?,Flax
2e/2ec2a3bf.jpg,What color are the peaches?,Yellow
b1/b13e368e.jpg,What flavor is this tea?,Cinnamon
59/5957954c.jpg,What is the bedding's main color?,White
21/21e8ee14.jpg,What shape is the jar?,Cylindrical
2c/2cc97ebe.jpg,What color are the cushions?,Beige
12/125be349.jpg,What color is the front notebook?,Red
aa/aa948ee5.jpg,What color is the blanket?,Beige
b5/b5319e00.jpg,What color is the text?,Gray
1c/1c02a87a.jpg,What color is the cap?,Black
2d/2d4483b0.jpg,What color is the pesto?,Green
bc/bc9b9266.jpg,Is it black?,Yes
b5/b5319e00.jpg,What color is the camera?,Gray
86/8605762c.jpg,What color is the sauce?,Red
ce/ce4c3c82.jpg,What color is the cap?,green
fb/fbce25a6.jpg,What shape is the tabletop?,Oval
04/04e438f6.jpg,What color is the bottle's cap?,Black
35/3595924e.jpg,What color is the logo?,Black
40/4082dde5.jpg,What color is the cap?,White
96/96fe7bfa.jpg,What pattern is visible?,Fish
91/91503663.jpg,What pattern is the bedding?,Striped
49/4940c6ba.jpg,What is the ring's primary color?,Gold
7e/7e56e24d.jpg,What shape is the frame?,Rectangle
c5/c57282fe.jpg,What color are the stones?,Pink
43/431de557.jpg,Is the box vertical?,Yes
e0/e05940ab.jpg,What flavor are the cremes?,Vanilla
e1/e11a8d58.jpg,What color is the background?,Red
22/227dfaa5.jpg,What color is the cauliflower?,White
55/55781314.jpg,What color are the pillows?,White
98/98fac8a6.jpg,What color is the label?,Green
a2/a28a8800.jpg,What pattern appears?,Stripes
1c/1c4fd195.jpg,What is the box's background?,Teal
25/25d8726f.jpg,What is the boot's texture?,Suede
d4/d4e640cb.jpg,Is the can cylindrical?,Yes
1b/1b1ca191.jpg,What shape are the stones?,Oval
36/362a5a54.jpg,What color is the bookshelf?,White
5f/5fc551f0.jpg,What is the boot's main material?,Suede
0d/0d76bee2.jpg,What color is the laundry bin?,Gray
2d/2d90585b.jpg,Is the sugar organic?,Yes
a7/a7948031.jpg,What color are the sheets?,Gray
8d/8d0f766f.jpg,What is their hue?,Silver
a0/a0b80c0f.jpg,What is the suitcase's color?,Blue
85/8554c090.jpg,Are beans visible?,Yes
7e/7e32f03c.jpg,What color is the bottle?,Brown
68/68a5a029.jpg,What color is the furniture?,Black
c8/c84585b4.jpg,What color is the juice?,orange
8c/8cf6a773.jpg,What color is the bottle's lid?,Black
22/22f0379c.jpg,What color is the box?,Green
5f/5fc7d1c2.jpg,What color is the bedding?,Purple
ff/ff58c9a1.jpg,What color are the stones?,White
97/976a4fe2.jpg,What color is the label?,Yellow
7b/7b3f4283.jpg,What color are most bottles?,Black
39/39b9c49b.jpg,What color is the cheese?,White
ca/ca2d2dcb.jpg,Is the sandal dark?,Yes
72/72952339.jpg,What color is the bottle's cap?,Green
42/42a66215.jpg,What shape is the pendant?,Heart
fe/fe37d7db.jpg,What item covers window?,Curtains
81/818aed04.jpg,Is the pattern floral?,Yes
12/12a4b33c.jpg,What color is the lid?,Black
90/90bee6a6.jpg,What color is the box?,Red
f6/f63f3ae8.jpg,Is the soup yellow?,Yes
aa/aa3860bd.jpg,What color are these suitcases?,Red
fc/fce5fb51.jpg,What color is the cap?,black
62/6250ccda.jpg,Is the chair upholstered?,Yes
f8/f85ff03f.jpg,What pattern is visible?,Plaid
65/65d71cce.jpg,What color is the box?,Yellow
c4/c4c4fd28.jpg,What color are the brushstrokes?,Black
65/658d21b3.jpg,What color are the doors?,White
97/97727eec.jpg,What is the sheet's texture?,Smooth
03/038dd304.jpg,Are the bulbs transparent?,Yes
d9/d9bac482.jpg,What shape are the bagels?,Round
b5/b518f779.jpg,What is the material of the stands?,Plastic
b6/b633c0a4.jpg,What color is the background?,White
8d/8d04609f.jpg,What shape are the crackers?,Square
79/791a4124.jpg,What color are the patterns?,Blue
bd/bdbb9242.jpg,What is the frame's finish?,Silver
da/dae3a2d5.jpg,What shape are the earrings?,Circular
b5/b5319e00.jpg,What color is the image?,Grey
e9/e933d542.jpg,What shape are the stones?,Round
1d/1d0e7b0f.jpg,What color is the bottle?,white
03/0330aa32.jpg,What shape is the rug?,Rectangular
b1/b1b4cf34.jpg,What is the image color?,Gray
1c/1c092726.jpg,What shape are the earrings?,Round
9b/9b6ea276.jpg,What is the texture?,Woven
56/56a05a07.jpg,What color is the cap?,Blue
c6/c6375839.jpg,Are the cookies round?,Yes
b8/b8b5dea2.jpg,What color is the sticker?,Purple
e6/e639b06c.jpg,What color are the beans?,Green
b3/b3d51fea.jpg,What is the product's color?,Green
d2/d225b0ff.jpg,What color is the sandal?,Black
77/7730efdb.jpg,What color is the frame?,Black
f9/f9d50af1.jpg,What color are the shelves?,Brown
e8/e81e6a83.jpg,What color is the flower?,Pink
34/343adae2.jpg,Is it baked?,Yes
55/5562a985.jpg,What color is the box?,Red
0c/0ca114f8.jpg,What color is the bottle cap?,Black
5d/5dfa839c.jpg,Is the plant drawn green?,Yes
51/514bef72.jpg,What color are the flowers?,Purple
df/df3db04f.jpg,What shape is the print?,Skull
95/95eaaeab.jpg,What is the hat's color?,Grey
e2/e289068f.jpg,What color are the vegetables?,Green
ba/bad9af1c.jpg,What is the predominant background color?,White
db/db960a6a.jpg,What color is the liquid?,Brown
de/deaa8b1b.jpg,What color is the cap?,black
